"filename", "language", "Markdown", "toml", "Go", "Properties", "XML", "Shell Script", "JSON", "HTML", "Log", "Makefile", "Python", "Go Checksum File", "Go Module File", "comment", "blank", "total"
"/home/jowens/Projects/ns2/.nicegui/storage-general.json", "JSON", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/home/jowens/Projects/ns2/.nicegui/storage-user-02dabf4c-21f0-4e75-ad67-b3d7652a182a.json", "JSON", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/home/jowens/Projects/ns2/.nicegui/storage-user-061b6597-dbfa-4983-abcc-2a330ee65ff2.json", "JSON", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/home/jowens/Projects/ns2/.nicegui/storage-user-09977514-ef20-40e7-8866-c03f8481150c.json", "JSON", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/home/jowens/Projects/ns2/.nicegui/storage-user-39dda508-d4c0-4168-815e-b0568f6fbf25.json", "JSON", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/home/jowens/Projects/ns2/.nicegui/storage-user-783cd550-77bc-4fc0-8aef-04378de28895.json", "JSON", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/home/jowens/Projects/ns2/.nicegui/storage-user-7e0a265d-052b-45ac-bbd0-ed8e5720f3af.json", "JSON", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/home/jowens/Projects/ns2/.nicegui/storage-user-a4a64473-23d3-4ceb-874a-8c9a428cec0f.json", "JSON", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/home/jowens/Projects/ns2/.nicegui/storage-user-b25fa7ba-a08e-481d-9fc9-9afeb504055b.json", "JSON", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/home/jowens/Projects/ns2/.nicegui/storage-user-c6724266-a971-4913-aa46-2528b323eb5b.json", "JSON", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/home/jowens/Projects/ns2/.nicegui/storage-user-eb3cd2f9-8fd0-4b9f-8b1a-66d594c874ae.json", "JSON", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/home/jowens/Projects/ns2/.nicegui/storage-user-efdd0f41-1583-4140-b8ce-78a401aa8964.json", "JSON", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/home/jowens/Projects/ns2/Makefile", "Makefile", 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 4, 12, 45
"/home/jowens/Projects/ns2/README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/jowens/Projects/ns2/build.sh", "Shell Script", 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 2, 5, 9
"/home/jowens/Projects/ns2/configs/com.novus.ns.conf", "Properties", 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 34
"/home/jowens/Projects/ns2/configs/nginx.conf", "Properties", 0, 0, 0, 94, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 21, 130
"/home/jowens/Projects/ns2/configs/ns-admin-rp.conf", "Properties", 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6, 44
"/home/jowens/Projects/ns2/configs/ns2-ui.conf", "Properties", 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6, 44
"/home/jowens/Projects/ns2/configs/ns2.xml", "XML", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6
"/home/jowens/Projects/ns2/configs/ns_admin.xml", "XML", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6
"/home/jowens/Projects/ns2/configs/ntl.go", "Go", 0, 0, 514, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 95, 645
"/home/jowens/Projects/ns2/configs/snmpd.conf", "Properties", 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 12, 62
"/home/jowens/Projects/ns2/debian/ns-admin.debhelper.log", "Log", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
"/home/jowens/Projects/ns2/makegroups.sh", "Shell Script", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 3, 1, 8
"/home/jowens/Projects/ns2/pyproject.toml", "toml", 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 29
"/home/jowens/Projects/ns2/reference/build.sh", "Shell Script", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/home/jowens/Projects/ns2/reference/com.novus.ns.conf", "Properties", 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 34
"/home/jowens/Projects/ns2/reference/dev_deploy.sh", "Shell Script", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 2, 7, 15
"/home/jowens/Projects/ns2/reference/index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 1, 17
"/home/jowens/Projects/ns2/reference/init_settings.json", "JSON", 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 24
"/home/jowens/Projects/ns2/reference/nginx.conf", "Properties", 0, 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 12, 63
"/home/jowens/Projects/ns2/reference/org.freedesktop.systemd1.xml", "XML", 0, 0, 0, 0, 558, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 558
"/home/jowens/Projects/ns2/reference/run.sh", "Shell Script", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7
"/home/jowens/Projects/ns2/reference/snmpd copy.conf", "Properties", 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 12, 84
"/home/jowens/Projects/ns2/reference/snmpd.conf", "Properties", 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 10, 60
"/home/jowens/Projects/ns2/reference/snmpd1.conf", "Properties", 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 20, 64
"/home/jowens/Projects/ns2/reference/socket.xml", "XML", 0, 0, 0, 0, 113, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 113
"/home/jowens/Projects/ns2/reference/test.xml", "XML", 0, 0, 0, 0, 929, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 931
"/home/jowens/Projects/ns2/src/ns2/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/jowens/Projects/ns2/src/ns2/api/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/jowens/Projects/ns2/src/ns2/api/accounts_interface.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 37, 11, 65
"/home/jowens/Projects/ns2/src/ns2/api/dbus.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 8, 26
"/home/jowens/Projects/ns2/src/ns2/api/main.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 7, 18, 45
"/home/jowens/Projects/ns2/src/ns2/api/pam_interface.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 10, 33
"/home/jowens/Projects/ns2/src/ns2/api/snmp_interface.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 46, 0, 0, 12, 21, 79
"/home/jowens/Projects/ns2/src/ns2/assets/NOVUS_LOGO.svg", "XML", 0, 0, 0, 0, 103, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 106
"/home/jowens/Projects/ns2/src/ns2/backend/go.mod", "Go Module File", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 48, 0, 5, 53
"/home/jowens/Projects/ns2/src/ns2/backend/go.sum", "Go Checksum File", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 115, 0, 0, 1, 116
"/home/jowens/Projects/ns2/src/ns2/backend/ns/Makefile", "Makefile", 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 2, 7
