Date : 2026-05-22 15:17:56
Directory : /home/jowens/Projects/ns2
Total : 125 files,  10498 codes, 2223 comments, 2406 blanks, all 15127 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| /home/jowens/Projects/ns2/configs/ntl.go                                                  | Go               |        514 |         36 |         95 |        645 |
| /home/jowens/Projects/ns2/configs/snmpd.conf                                              | Properties       |         19 |         31 |         12 |         62 |
| /home/jowens/Projects/ns2/debian/ns-admin.debhelper.log                                   | Log              |          1 |          0 |          1 |          2 |
| /home/jowens/Projects/ns2/makegroups.sh                                                   | Shell Script     |          4 |          3 |          1 |          8 |
| /home/jowens/Projects/ns2/pyproject.toml                                                  | toml             |         24 |          0 |          5 |         29 |
| /home/jowens/Projects/ns2/reference/build.sh                                              | Shell Script     |          1 |          0 |          0 |          1 |
| /home/jowens/Projects/ns2/reference/com.novus.ns.conf                                     | Properties       |         28 |          0 |          6 |         34 |
| /home/jowens/Projects/ns2/reference/dev_deploy.sh                                         | Shell Script     |          6 |          2 |          7 |         15 |
| /home/jowens/Projects/ns2/reference/index.html                                            | HTML             |         16 |          0 |          1 |         17 |
| /home/jowens/Projects/ns2/reference/init_settings.json                                    | JSON             |         24 |          0 |          0 |         24 |
| /home/jowens/Projects/ns2/reference/nginx.conf                                            | Properties       |         44 |          7 |         12 |         63 |
| /home/jowens/Projects/ns2/reference/org.freedesktop.systemd1.xml                          | XML              |        558 |          0 |          0 |        558 |
| /home/jowens/Projects/ns2/reference/run.sh                                                | Shell Script     |          4 |          0 |          3 |          7 |
| /home/jowens/Projects/ns2/reference/snmpd copy.conf                                       | Properties       |         42 |         30 |         12 |         84 |
| /home/jowens/Projects/ns2/reference/snmpd.conf                                            | Properties       |         20 |         30 |         10 |         60 |
| /home/jowens/Projects/ns2/reference/snmpd1.conf                                           | Properties       |         18 |         26 |         20 |         64 |
| /home/jowens/Projects/ns2/reference/socket.xml                                            | XML              |        113 |          0 |          0 |        113 |
| /home/jowens/Projects/ns2/reference/test.xml                                              | XML              |        929 |          0 |          2 |        931 |
| /home/jowens/Projects/ns2/src/ns2/__init__.py                                             | Python           |          0 |          0 |          1 |          1 |
| /home/jowens/Projects/ns2/src/ns2/api/__init__.py                                         | Python           |          0 |          0 |          1 |          1 |
| /home/jowens/Projects/ns2/src/ns2/api/accounts_interface.py                               | Python           |         17 |         37 |         11 |         65 |
| /home/jowens/Projects/ns2/src/ns2/api/dbus.py                                             | Python           |         18 |          0 |          8 |         26 |
| /home/jowens/Projects/ns2/src/ns2/api/main.py                                             | Python           |         20 |          7 |         18 |         45 |
| /home/jowens/Projects/ns2/src/ns2/api/pam_interface.py                                    | Python           |         23 |          0 |         10 |         33 |
| /home/jowens/Projects/ns2/src/ns2/api/snmp_interface.py                                   | Python           |         46 |         12 |         21 |         79 |
| /home/jowens/Projects/ns2/src/ns2/assets/NOVUS_LOGO.svg                                   | XML              |        103 |          1 |          2 |        106 |
| /home/jowens/Projects/ns2/src/ns2/backend/go.mod                                          | Go Module File   |         48 |          0 |          5 |         53 |
| /home/jowens/Projects/ns2/src/ns2/backend/go.sum                                          | Go Checksum File |        115 |          0 |          1 |        116 |
| /home/jowens/Projects/ns2/src/ns2/backend/ns/Makefile                                     | Makefile         |          5 |          0 |          2 |          7 |
| /home/jowens/Projects/ns2/src/ns2/backend/ns/cmd/restart.go                               | Go               |         20 |         11 |          9 |         40 |
| /home/jowens/Projects/ns2/src/ns2/backend/ns/cmd/root.go                                  | Go               |         31 |         17 |         13 |         61 |
| /home/jowens/Projects/ns2/src/ns2/backend/ns/cmd/start.go                                 | Go               |         23 |         11 |         10 |         44 |
| /home/jowens/Projects/ns2/src/ns2/backend/ns/cmd/status.go                                | Go               |         18 |         11 |          9 |         38 |
| /home/jowens/Projects/ns2/src/ns2/backend/ns/cmd/stop.go                                  | Go               |         23 |         11 |         11 |         45 |
| /home/jowens/Projects/ns2/src/ns2/backend/ns/cmd/test.go                                  | Go               |         46 |         16 |         20 |         82 |
| /home/jowens/Projects/ns2/src/ns2/backend/ns/internal/account/add.go                      | Go               |         48 |         24 |         13 |         85 |
| /home/jowens/Projects/ns2/src/ns2/backend/ns/internal/bridge/bridge.go                    | Go               |         28 |          1 |         13 |         42 |
| /home/jowens/Projects/ns2/src/ns2/backend/ns/internal/dbus/dbus.go                        | Go               |         76 |          4 |         20 |        100 |
| /home/jowens/Projects/ns2/src/ns2/backend/ns/internal/snmp/snmp.go                        | Go               |         32 |          3 |         10 |         45 |
| /home/jowens/Projects/ns2/src/ns2/backend/ns/lib/account.go                               | Go               |         91 |          1 |         29 |        121 |
| /home/jowens/Projects/ns2/src/ns2/backend/ns/lib/account_interface.go                     | Go               |         10 |          1 |          5 |         16 |
| /home/jowens/Projects/ns2/src/ns2/backend/ns/lib/bridge.go                                | Go               |        259 |         18 |         77 |        354 |
| /home/jowens/Projects/ns2/src/ns2/backend/ns/lib/bridge_interface.go                      | Go               |        131 |          8 |         40 |        179 |
| /home/jowens/Projects/ns2/src/ns2/backend/ns/lib/dbus_service.go                          | Go               |        117 |          5 |         13 |        135 |
| /home/jowens/Projects/ns2/src/ns2/backend/ns/lib/firewall.go                              | Go               |         15 |          3 |         11 |         29 |
| /home/jowens/Projects/ns2/src/ns2/backend/ns/lib/networking.go                            | Go               |          1 |          0 |          1 |          2 |
| /home/jowens/Projects/ns2/src/ns2/backend/ns/lib/pam_interface.go                         | Go               |         30 |          2 |         11 |         43 |
| /home/jowens/Projects/ns2/src/ns2/backend/ns/lib/polkit.go                                | Go               |         91 |          1 |         21 |        113 |
| /home/jowens/Projects/ns2/src/ns2/backend/ns/lib/snmp.go                                  | Go               |        397 |         15 |        136 |        548 |
| /home/jowens/Projects/ns2/src/ns2/backend/ns/lib/snmp_interface.go                        | Go               |        143 |         12 |         67 |        222 |
| /home/jowens/Projects/ns2/src/ns2/backend/ns/lib/systemd.go                               | Go               |         79 |          2 |         34 |        115 |
